datetime,Ia (A),Ib (A),Ic (A),Pa (kW),Pb (kW),Pc (kW),Ptot (kW),VAa (kVA),VAb (kVA),VAc (kVA),VAtot (kVA)
2023-03-09 00:00:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 00:15:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 00:30:00,0.3199999999999999,0.31,0.3199999999999999,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 00:45:00,0.32,0.3099999999999999,0.32,0.0411899999999999,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 01:00:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 01:15:00,0.32,0.31,0.32,0.0411899999999999,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 01:30:00,0.3199999999999999,0.31,0.3199999999999999,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 01:45:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 02:00:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 02:15:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 02:30:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 02:45:00,0.32,0.3099999999999999,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 03:00:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 03:15:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 03:30:00,0.32,0.3099999999999999,0.32,0.0411899999999999,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 03:45:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 04:00:00,0.32,0.3099999999999999,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 04:15:00,0.32,0.31,0.32,0.0411899999999999,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 04:30:00,0.32,0.31,0.32,0.0411899999999999,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 04:45:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 05:00:00,0.32,0.31,0.32,0.0411899999999999,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 05:15:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 05:30:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 05:45:00,0.32,0.31,0.32,0.0411899999999999,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 06:00:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 06:15:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 06:30:00,0.32,0.31,0.32,0.04119,0.0,0.05368,0.02756,0.0,0.0,0.0,0.0
2023-03-09 06:45:00,0.3131342985077943,0.2808368795902263,0.2423324185286802,0.041412918967567,0.0,0.063179550782769,0.0498172766969255,0.0,0.0,0.0,0.0
2023-03-09 07:00:00,0.3133330741287964,0.3009389128961668,0.2635550272720219,0.0751299229051647,0.0,0.0580254926182251,0.0700729585976297,0.0,0.0,0.0,0.0
2023-03-09 07:15:00,0.4057938836289272,0.4064919767080052,0.4108243321331727,0.1376921202827044,0.0,0.0469406189714181,0.1834515389829745,0.0,0.0,0.0,0.0
2023-03-09 07:30:00,0.6694227436341812,0.6735304181664659,0.6803351775318847,0.2552843315335731,0.0,0.1467572073723505,0.4020387145047329,0.0,0.0,0.0,0.0
2023-03-09 07:45:00,0.9407999644460212,0.955916292609218,0.9598502288787144,0.3616496751255493,0.0,0.2423195679080924,0.603829446802362,0.0,0.0,0.0,0.0
2023-03-09 08:00:00,1.0180921220739676,1.0355213251713653,1.0380014664874295,0.3918701238737497,0.0,0.2709829143104721,0.6627231747230912,0.0,0.0,0.0,0.0
2023-03-09 08:15:00,1.0495874673629209,1.0667604021998782,1.0688790622743147,0.4020738512304869,0.0,0.2809011406032983,0.6832273331481568,0.0,0.0,0.0,0.0
2023-03-09 08:30:00,1.0616007665140277,1.0820300366545166,1.0841149993872334,0.4078136388248267,0.0,0.2860390346156841,0.6936851904586842,0.0,0.0,0.0,0.0
2023-03-09 08:45:00,1.1492559088288756,1.1702818056848925,1.1709029533058386,0.4395437243359471,0.0,0.3152183818899365,0.754676146512346,0.0,0.0,0.0,0.0
2023-03-09 09:00:00,1.4904151295613113,1.5200920040890775,1.5181476954531328,0.5669214778434615,0.0,0.4328953741277392,0.9998716556291448,0.0,0.0,0.0,0.0
2023-03-09 09:15:00,2.4218939629514407,2.464235040646794,2.4614777220025594,0.9001788659988432,0.0,0.7439999754564376,1.6434298590688972,0.0,0.0,0.0,0.0
2023-03-09 09:30:00,2.2218713606258524,2.258633817842369,2.258589034093419,0.8311946083922238,0.0,0.6767658024403205,1.5079392720140496,0.0,0.0,0.0,0.0
2023-03-09 09:45:00,2.609474393681131,2.6543685037264844,2.650814589530212,0.9663386706103908,0.0,0.8074187343337492,1.774012223410544,0.0,0.0,0.0,0.0
2023-03-09 10:00:00,4.162057803340105,4.227936544876268,4.2205137582145005,1.519007477753036,0.0,1.3248517073927588,2.8436734956836025,0.0,0.0,0.0,0.0
2023-03-09 10:15:00,4.373101773108777,4.433375799010628,4.427810794286015,1.5900391581346147,0.0,1.392033469734861,2.9821351981546176,0.0,0.0,0.0,0.0
2023-03-09 10:30:00,5.027712212790518,5.097096573485598,5.089674347806743,1.8180959746233476,0.0,1.6091943161414977,3.4273117885871773,0.0,0.0,0.0,0.0
2023-03-09 10:45:00,4.858646358527874,4.921774426404294,4.916240810252548,1.7581855703751514,0.0,1.5479373109299772,3.3061954948582017,0.0,0.0,0.0,0.0
2023-03-09 11:00:00,4.319569489679067,4.377445727688047,4.372320509542804,1.569625322743785,0.0,1.3712360781654631,2.942292498916212,0.0,0.0,0.0,0.0
2023-03-09 11:15:00,3.371860436690932,3.419444746930373,3.417633535196412,1.2342098307683782,0.0,1.0568790662814636,2.2905877438746614,0.0,0.0,0.0,0.0
2023-03-09 11:30:00,4.474196132013652,4.536415836304867,4.531907999244597,1.6244676173337294,0.0,1.4251720333033353,3.0491207464924712,0.0,0.0,0.0,0.0
2023-03-09 11:45:00,5.497406670814644,5.571265832629676,5.562184236256176,1.9888000401093229,0.0,1.7670664716012574,3.7555792676992046,0.0,0.0,0.0,0.0
2023-03-09 12:00:00,5.706295321247684,5.777577645961083,5.768843530614083,2.064887570758924,0.0,1.8369148635919397,3.90085326512932,0.0,0.0,0.0,0.0
2023-03-09 12:15:00,5.815965206758564,5.890343597154299,5.879784237438852,2.1004574897732318,0.0,1.8719664121831865,3.972479304246328,0.0,0.0,0.0,0.0
2023-03-09 12:30:00,5.147754820936649,5.216886274771182,5.205668932729021,1.8661075198835784,0.0,1.65176253265795,3.5184828114724707,0.0,0.0,0.0,0.0
2023-03-09 12:45:00,5.69528040446689,5.770900161120019,5.7603809100505545,2.0570188532696387,0.0,1.834199805433635,3.891673538863296,0.0,0.0,0.0,0.0
2023-03-09 13:00:00,5.798466667407511,5.869096536166329,5.862377676775519,2.089271501883605,0.0,1.866110043228466,3.954898492337776,0.0,0.0,0.0,0.0
2023-03-09 13:15:00,5.778208769473522,5.852230259795101,5.841443985154561,2.080097868857921,0.0,1.8535572485943488,3.934722906749337,0.0,0.0,0.0,0.0
2023-03-09 13:30:00,5.547446009598308,5.617570543014587,5.609925902061847,2.000459529972438,0.0,1.7755417933478466,3.775765038215404,0.0,0.0,0.0,0.0
2023-03-09 13:45:00,4.588042323927979,4.65027938235944,4.645494778937967,1.6626959824483405,0.0,1.4601408023772395,3.122998775938672,0.0,0.0,0.0,0.0
2023-03-09 14:00:00,3.9754449435203862,4.027439073201082,4.02449468558211,1.4434763889753488,0.0,1.2539204774081565,2.6964737772391474,0.0,0.0,0.0,0.0
2023-03-09 14:15:00,2.6882838961875835,2.7300505291681447,2.728313214210388,0.9904060345153072,0.0,0.8270618499228285,1.818137074527744,0.0,0.0,0.0,0.0
2023-03-09 14:30:00,2.697371234261946,2.737395459445026,2.737379568613928,0.9931755285646012,0.0,0.8330688364133384,1.8261109778973013,0.0,0.0,0.0,0.0
2023-03-09 14:45:00,2.023381170302573,2.057490447416363,2.0587278402274864,0.7575496000133265,0.0,0.6092798109477028,1.3671278025725278,0.0,0.0,0.0,0.0
2023-03-09 15:00:00,1.8245923176099184,1.8568241230605127,1.8590056906593089,0.6867876991730729,0.0,0.5441546767883308,1.2305688987685008,0.0,0.0,0.0,0.0
2023-03-09 15:15:00,1.6281580759831236,1.65432592757166,1.6554033548100562,0.6136744324594559,0.0,0.4763194986669684,1.090165170184411,0.0,0.0,0.0,0.0
2023-03-09 15:30:00,1.945197002712677,1.980965557877879,1.9793039311602243,0.7303741960910733,0.0,0.5840418032641068,1.314620229577084,0.0,0.0,0.0,0.0
2023-03-09 15:45:00,2.024040309767452,2.0575890803639867,2.0582972789795866,0.7578881556170375,0.0,0.6103635051053861,1.368171213181788,0.0,0.0,0.0,0.0
2023-03-09 16:00:00,1.052400048864998,1.0689277464350735,1.0730468437652667,0.4072195310070625,0.0,0.2844592590289171,0.6914456252498735,0.0,0.0,0.0,0.0
2023-03-09 16:15:00,1.2012554858063504,1.221316149102837,1.2235102494305894,0.4613836597966791,0.0,0.3350745511916014,0.79643253252597,0.0,0.0,0.0,0.0
2023-03-09 16:30:00,1.2455493173833752,1.2678785520522948,1.2699091697425176,0.4802283994085471,0.0,0.349081769355627,0.8293623344599099,0.0,0.0,0.0,0.0
2023-03-09 16:45:00,0.9358927857491884,0.948713962062992,0.9547252454355648,0.3648120946426194,0.0,0.2436516548576251,0.6085085420461115,0.0,0.0,0.0,0.0
2023-03-09 17:00:00,0.7556640954963766,0.7633656026319304,0.7701371537811768,0.2948652985373219,0.0,0.180791071666741,0.475698934446271,0.0,0.0,0.0,0.0
2023-03-09 17:15:00,0.5809069400630925,0.5866383791709242,0.5925725329897373,0.2257505851512867,0.0,0.1184322715155285,0.344271792886658,0.0,0.0,0.0,0.0
2023-03-09 17:30:00,0.4374678564681583,0.4386284685565683,0.4441559336348572,0.1617972628268521,0.0,0.0638303331592333,0.2257224529098641,0.0,0.0,0.0,0.0
2023-03-09 17:45:00,0.3352258788498308,0.3314427136571741,0.324778009866229,0.105354376138839,0.0,0.026276295609084,0.1187856484156279,0.0,0.0,0.0,0.0
2023-03-09 18:00:00,0.3195134906876461,0.2603910521402867,0.1936818242432296,0.0598310945903896,0.0,0.0224197773036404,0.0472833186647097,0.0,0.0,0.0,0.0
2023-03-09 18:15:00,0.3324580385012698,0.3056712173555667,0.3032217322239874,0.03126,0.0,0.0606329916799046,0.042537831331994,0.0,0.0,0.0,0.0
2023-03-09 18:30:00,0.32,0.31,0.31,0.03126,0.0,0.05513,0.02975,0.0,0.0,0.0,0.0
2023-03-09 18:45:00,0.32,0.31,0.31,0.03126,0.0,0.05513,0.02975,0.0,0.0,0.0,0.0
2023-03-09 19:00:00,0.32,0.31,0.31,0.03126,0.0,0.05513,0.02975,0.0,0.0,0.0,0.0
2023-03-09 19:15:00,0.32,0.3099999999999999,0.3099999999999999,0.03126,0.0,0.0551299999999999,0.02975,0.0,0.0,0.0,0.0
2023-03-09 19:30:00,0.32,0.31,0.31,0.03126,0.0,0.05513,0.02975,0.0,0.0,0.0,0.0
2023-03-09 19:45:00,0.32,0.31,0.31,0.03126,0.0,0.05513,0.02975,0.0,0.0,0.0,0.0
2023-03-09 20:00:00,0.32,0.31,0.31,0.03126,0.0,0.05513,0.02975,0.0,0.0,0.0,0.0
2023-03-09 20:15:00,0.32,0.31,0.31,0.03126,0.0,0.05513,0.02975,0.0,0.0,0.0,0.0
2023-03-09 20:30:00,0.32,0.31,0.31,0.03126,0.0,0.05513,0.02975,0.0,0.0,0.0,0.0
2023-03-09 20:45:00,0.32,0.31,0.31,0.03126,0.0,0.05513,0.02975,0.0,0.0,0.0,0.0
2023-03-09 21:00:00,0.32,0.31,0.31,0.03126,0.0,0.05513,0.02975,0.0,0.0,0.0,0.0
2023-03-09 21:15:00,0.32,0.3099999999999999,0.3099999999999999,0.03126,0.0,0.0551299999999999,0.02975,0.0,0.0,0.0,0.0
